,station,mean_temp,mean_wind_speed
0,12,-3.0,8.0
0,13,-2.8,8.0
0,13,-2.8,8.0
0,13,-2.8,8.0
0,14,-2.2,9.1
0,15,-2.3,5.6
0,16,-2.8,8.2
0,17,-2.1,8.0
0,17,-2.1,8.0
0,17,-2.1,8.0
0,17,-2.1,8.0
0,18,-2.0,8.8
0,19,-2.1,8.0
0,20,-2.6,9.4
0,20,-2.6,9.4
0,21,-2.5,7.6
0,21,-2.5,7.6
0,22,-2.7,8.6
0,22,-2.7,8.6
0,22,-2.7,8.6
0,23,-3.3,10.0
0,23,-3.3,10.0
0,24,-2.6,9.4
0,24,-2.6,9.4
0,25,-2.5,8.4
0,25,-2.5,8.4
0,26,-2.6,7.1
0,27,-2.8,10.1
0,28,-2.8,8.8
0,29,-2.5,7.1
0,30,-4.1,9.2
0,31,-2.4,8.4
0,31,-2.4,8.4
0,31,-2.4,8.4
0,32,-2.2,11.5
0,33,-2.2,9.6
0,33,-2.2,9.6
0,33,-2.2,9.6
0,34,-2.3,8.0
0,34,-2.3,8.0
0,35,-2.2,12.6
0,36,-2.7,8.1
0,37,-2.6,9.2
0,37,-2.6,9.2
0,37,-2.6,9.2
0,38,-2.6,7.9
0,39,-2.5,9.6
0,39,-2.5,9.6
0,39,-2.5,9.6
0,40,-3.2,8.3
0,41,-2.8,10.2
0,42,-2.8,10.1
0,42,-2.8,10.1
0,43,-1.7,10.1
0,44,-3.0,9.3
0,45,-2.9,7.9
0,46,-2.5,8.2
0,46,-2.5,8.2
0,47,-2.5,11.1
0,0,-2.1,6.8
0,0,-2.1,6.8
0,1,-2.1,6.8
0,2,-1.5,7.7
0,2,-1.5,7.7
0,3,-2.5,7.1
0,3,-2.5,7.1
0,4,-2.4,6.6
0,5,-2.4,7.3
0,5,-2.4,7.3
0,6,-2.0,6.5
0,6,-2.0,6.5
0,6,-2.0,6.5
0,7,-2.0,11.0
0,8,-2.3,6.1
0,9,-2.7,5.1
0,10,-2.2,7.9
0,11,-2.6,6.2
0,12,-2.6,6.2
0,12,-2.6,6.2
0,13,-2.4,6.0
0,13,-2.4,6.0
0,13,-2.4,6.0
0,14,-2.5,5.7
0,15,-2.0,4.1
0,16,-2.1,6.9
0,17,-2.2,5.7
0,17,-2.2,5.7
0,17,-2.2,5.7
0,17,-2.2,5.7
0,18,-2.1,6.2
0,19,-2.2,5.7
0,20,-2.5,6.7
0,20,-2.5,6.7
0,21,-2.1,5.8
0,21,-2.1,5.8
0,22,-2.7,6.2
0,22,-2.7,6.2
0,22,-2.7,6.2
0,23,-2.5,7.9
0,23,-2.5,7.9
0,24,-2.1,7.0
0,24,-2.1,7.0
0,25,-2.0,6.6
0,25,-2.0,6.6
0,26,-2.8,4.7
0,27,-2.1,8.5
0,28,-2.2,7.1
0,29,-2.1,6.0
0,30,-3.3,6.9
0,31,-2.5,5.9
0,31,-2.5,5.9
0,31,-2.5,5.9
0,32,-2.0,9.3
0,33,-2.5,6.0
0,33,-2.5,6.0
0,33,-2.5,6.0
0,34,-1.7,6.4
0,34,-1.7,6.4
0,35,-1.4,11.0
0,36,-2.7,5.6
0,37,-2.3,7.1
0,37,-2.3,7.1
0,37,-2.3,7.1
0,38,-2.2,6.0
0,39,-2.0,7.6
0,39,-2.0,7.6
0,39,-2.0,7.6
0,40,-2.3,6.3
0,41,-2.1,8.6
0,42,-2.1,8.5
0,42,-2.1,8.5
0,43,-1.1,8.3
0,44,-2.5,7.2
0,45,-2.5,6.1
0,46,-1.9,6.6
0,46,-1.9,6.6
0,47,-1.9,8.9
0,0,-4.7,4.5
0,0,-4.7,4.5
0,1,-4.7,4.5
0,2,-2.3,6.0
0,2,-2.3,6.0
0,3,-2.6,5.0
0,3,-2.6,5.0
0,4,-3.8,6.2
0,5,-2.7,5.1
0,5,-2.7,5.1
0,6,-2.2,5.0
0,6,-2.2,5.0
0,6,-2.2,5.0
0,7,-4.3,7.1
0,8,-4.0,4.7
0,9,-5.0,4.2
0,10,-4.6,5.3
0,11,-4.1,4.9
0,12,-4.0,5.3
0,12,-4.0,5.3
0,13,-3.6,4.9
0,13,-3.6,4.9
0,13,-3.6,4.9
0,14,-4.1,3.8
0,15,-2.9,3.8
0,16,-2.3,5.2
0,17,-3.7,4.8
0,17,-3.7,4.8
0,17,-3.7,4.8
0,17,-3.7,4.8
0,18,-3.2,4.9
0,19,-3.7,4.8
0,20,-3.0,5.0
0,20,-3.0,5.0
0,21,-3.7,4.0
0,21,-3.7,4.0
0,22,-2.9,5.1
0,22,-2.9,5.1
0,22,-2.9,5.1
0,23,-1.7,6.8
0,23,-1.7,6.8
0,24,-2.3,4.9
0,24,-2.3,4.9
0,25,-2.4,4.8
0,25,-2.4,4.8
0,26,-4.8,3.5
0,27,-1.9,5.7
0,28,-2.6,4.9
0,29,-2.5,4.3
0,30,-2.3,5.7
0,31,-3.2,4.9
0,31,-3.2,4.9
0,31,-3.2,4.9
0,32,-3.0,7.6
0,33,-4.2,4.0
0,33,-4.2,4.0
0,33,-4.2,4.0
0,34,-2.5,4.6
0,34,-2.5,4.6
0,35,-0.9,8.8
0,36,-3.3,5.0
0,37,-3.1,6.0
0,37,-3.1,6.0
0,37,-3.1,6.0
0,38,-3.3,4.4
0,39,-3.7,6.5
0,39,-3.7,6.5
0,39,-3.7,6.5
0,40,-1.7,4.5
0,41,-2.0,5.7
0,42,-1.9,5.7
0,42,-1.9,5.7
0,43,-3.7,6.9
0,44,-2.8,5.1
0,45,-4.0,4.7
0,46,-2.2,4.5
0,46,-2.2,4.5
0,47,-1.1,7.9
0,0,-2.9,6.7
0,0,-2.9,6.7
0,1,-2.9,6.7
0,2,-1.5,7.4
0,2,-1.5,7.4
0,3,-1.9,8.3
0,3,-1.9,8.3
0,4,-1.8,7.4
0,5,-1.8,9.0
0,5,-1.8,9.0
0,6,-1.8,7.0
0,6,-1.8,7.0
0,6,-1.8,7.0
0,7,-3.3,10.3
0,8,-2.3,6.2
0,9,-3.2,4.6
0,10,-3.3,7.4
0,11,-2.3,6.9
0,12,-2.0,7.7
0,12,-2.0,7.7
0,13,-1.8,6.9
0,13,-1.8,6.9
0,13,-1.8,6.9
0,14,-2.2,6.6
0,15,-1.8,5.3
0,16,-1.8,7.5
0,17,-1.9,5.9
0,17,-1.9,5.9
0,17,-1.9,5.9
0,17,-1.9,5.9
0,18,-1.6,6.9
0,19,-1.9,5.9
0,20,-1.7,7.7
0,20,-1.7,7.7
0,21,-2.0,6.0
0,21,-2.0,6.0
0,22,-2.0,7.0
0,22,-2.0,7.0
0,22,-2.0,7.0
0,23,-1.9,8.5
0,23,-1.9,8.5
0,24,-1.7,7.7
0,24,-1.7,7.7
0,25,-1.5,6.9
0,25,-1.5,6.9
0,26,-3.1,4.6
0,27,-1.9,9.3
0,28,-1.7,8.6
0,29,-1.6,5.5
0,30,-2.8,7.9
0,31,-1.9,6.6
0,31,-1.9,6.6
0,31,-1.9,6.6
0,32,-1.8,9.9
0,33,-2.2,7.1
