Navn;Definition;Attainable;Importance;Cat/Num;Datatype;Min;Max;Mean;Std
ekstern_antal_i_alt;;;;Numerical;int;0;618;3,2545651454529048;23,674561274820725
ekstern_antal_paa_dagen;;;;Numerical;int;0;173;0,5182655957000892;3,4362992324776225
ekstern_antal_stdv;;;;Numerical;float;0;356,8024663591887;1,5767325028399921;13,482566129327115
bdk_arsagstype_severitylevel(720_4);;;;Numerical;int;0;5;0,012825526708983886;0,13776293842642465
bdk_arsagstype_severitylevel(722_4);;;;Numerical;int;0;5;0,025500636763835825;0,19608215777334886
bdk_arsagstype_severitylevel(721_4);;;;Numerical;int;0;3;0,001263499894708342;0,03731315510200581
bdk_arsagstype_severitylevel(762_4);;;;Numerical;int;0;4;0,03351784442906852;0,21027926490651924
bdk_arsagstype_severitylevel(722_1);;;;Numerical;int;0;6;0,045917190618011895;0,2904160799658333
bdk_arsagstype_severitylevel(762_3);;;;Numerical;int;0;3;0,008653971501057931;0,09788721068218194
bdk_arsagstype_severitylevel(762_1);;;;Numerical;int;0;3;0,012409373965885503;0,1213354373105237
bdk_arsagstype_severitylevel(762_2);;;;Numerical;int;0;3;0,008368179858207234;0,09534355447912957
bdk_arsagstype_severitylevel(720_1);;;;Numerical;int;0;4;0,018275623477031377;0,16636927376308605
bdk_arsagstype_severitylevel(720_2);;;;Numerical;int;0;3;0,003700249691645859;0,06548470020684298
bdk_arsagstype_severitylevel(722_2);;;;Numerical;int;0;5;0,011381526829317208;0,132701494153854
bdk_arsagstype_severitylevel(722_3);;;;Numerical;int;0;5;0,007555929925894728;0,10328440757957871
bdk_arsagstype_severitylevel(721_1);;;;Numerical;int;0;2;0,001032861025039359;0,03304491428030392
bdk_arsagstype_severitylevel(721_3);;;;Numerical;int;0;1;7,01944385949079e-05;0,008377939081889076
bdk_arsagstype_severitylevel(720_3);;;;Numerical;int;0;3;0,002797749766854186;0,05640054621301911
bdk_arsagstype_severitylevel(721_2);;;;Numerical;int;0;1;7,01944385949079e-05;0,008377939081889078
bdk_sp_udrulning;;;;Numerical;int;0;1;0,07602559088675631;0,2650397189534981
bdk_sp_days_since_sw_update;;;;Numerical;int;-1;783;25,05142244015924;108,13021316857717
sap_sikringsanlaeg_fatal_fejl;;;;Numerical;int;0;10;0,4354461859350401;0,8497208182078122
sap_sikringsanlaeg_forstyrrende_fejl;;;;Numerical;int;0;6;0,1706577218896343;0,46609491415557447
sap_sikringsanlaeg_generende_fejl;;;;Numerical;int;0;4;0,08545671510082929;0,31141048231342516
sap_sikringsanlaeg_antal_haster_opgaver;;;;Numerical;int;0;61;2,3056516550845845;5,0007977349802495
sap_sikringsanlaeg_antal_vedligehold_opgaver;;;;Numerical;int;0;57;1,3955005364860664;5,461470439876691
sap_spor_fatal_fejl;;;;Numerical;int;0;14;0,11854336512138625;0,4015330696579119
sap_spor_forstyrrende_fejl;;;;Numerical;int;0;4;0,034771316546834734;0,1945619449459663
sap_spor_generende_fejl;;;;Numerical;int;0;16;0,0486698153886265;0,24920905342255742
sap_spor_antal_haster_opgaver;;;;Numerical;int;0;96;1,4330144500265736;4,1215765042645
sap_spor_antal_vedligehold_opgaver;;;;Numerical;int;0;43;0,3665302889002537;1,8032599028904106
sap_sporskifte_fatal_fejl;;;;Numerical;int;0;9;0,16061490328209138;0,49329461609773273
sap_sporskifte_forstyrrende_fejl;;;;Numerical;int;0;12;0,05971541169038236;0,29030642118162875
sap_sporskifte_generende_fejl;;;;Numerical;int;0;6;0,0401963438725269;0,22610971475035016
sap_sporskifte_antal_haster_opgaver;;;;Numerical;int;0;44;2,340653610501088;4,322780518270275
sap_sporskifte_antal_vedligehold_opgaver;;;;Numerical;int;0;74;1,807256099395325;5,330286659496908
enk_antal_planlagte_fejl_spaerringer;;;;Numerical;int;0;9;0,14847126540517233;0,5076144061326024
enk_antal_akutte_fejl_spaerringer;;;;Numerical;int;0;6;0,03717296912447479;0,20123212942037588
enk_antal_planlagte_norm_spaerringer;;;;Numerical;int;0;29;0,7721338106555158;1,6314569900907554
enk_antal_akutte_norm_spaerringer;;;;Numerical;int;0;9;0,007470693821886626;0,1179531761852761
enk_antal_planlagte_projekt_spaerringer;;;;Numerical;int;0;41;1,6308324057639663;3,24254288794689
enk_antal_akutte_projekt_spaerringer;;;;Numerical;int;0;12;0,26318903362313606;0,6795475400732506
enk_antal_planlagte_vedligehold_spaerringer;;;;Numerical;int;0;29;1,8689018581470673;2,520220492012764
enk_antal_akutte_vedligehold_spaerringer;;;;Numerical;int;0;17;0,562934328088806;1,444332600130625
station;;;;Numerical;int;0;47;23,05128205128205;13,486872063362057
visualiseringskode;;;;Numerical;int;1;28;13,5;8,109448208227322
antal_forsinkelse_fra_sverige_ikke_myldretid;;;;Numerical;int;0;71;16,00391083300743;7,439514159343599
antal_forsinkelse_fra_sverige_myldretid;;;;Numerical;int;0;29;5,6081345326554555;5,469570758253964
